Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Lamongan;72.04;13.46;7.83;11108;71.97;2018
Kabupaten Gresik;72.46;13.71;8.96;12845;75.28;2018
Kabupaten Bangkalan;69.94;11.58;5.33;8393;62.87;2018
Kabupaten Sampang;67.79;11.76;4.36;8569;61;2018
Kabupaten Pamekasan;67.22;13.62;6.35;8536;65.41;2018
Kabupaten Sumenep;70.94;13.07;5.23;8722;65.25;2018
Kota Kediri;73.8;14.96;9.91;11976;77.58;2018
Kota Blitar;73.36;14.02;9.9;13391;77.58;2018
Kota Malang;72.93;15.4;10.16;16158;80.89;2018
Kota Probolinggo;70;13.56;8.49;11796;72.53;2018
Kota Pasuruan;71.18;13.59;9.1;12931;74.78;2018
Kota Mojokerto;73.01;13.82;9.99;13155;77.14;2018
Kota Madiun;72.59;14.21;11.11;15616;80.33;2018
Kota Surabaya;73.98;14.78;10.46;17157;81.74;2018
Kota Batu;72.37;14.04;8.77;12466;75.04;2018
Kabupaten Pacitan;71.77;12.62;7.28;9033;68.16;2019
Kabupaten Ponorogo;72.65;13.72;7.21;9883;70.56;2019
Kabupaten Trenggalek;73.59;12.25;7.28;9865;69.46;2019
Kabupaten Tulungagung;73.95;13.15;8.07;10891;72.62;2019
Kabupaten Blitar;73.39;12.45;7.29;10861;70.57;2019
Kabupaten Kediri;72.54;12.88;8.01;11146;71.85;2019
Kabupaten Malang;72.45;13.17;7.27;10270;70.35;2019
Kabupaten Lumajang;69.94;11.8;6.22;9274;65.33;2019
Kabupaten Jember;68.99;13.22;6.18;9525;66.69;2019
Kabupaten Banyuwangi;70.54;12.78;7.13;12264;70.6;2019
Kabupaten Bondowoso;66.55;13.27;5.71;10665;66.09;2019
Kabupaten Situbondo;68.97;13.14;6.12;10097;67.09;2019
Kabupaten Probolinggo;67;12.34;5.77;10972;65.6;2019
Kabupaten Pasuruan;70.17;12.31;7.11;10381;68.29;2019
Kabupaten Sidoarjo;73.98;14.91;10.25;14609;80.05;2019
Kabupaten Mojokerto;72.43;12.61;8.49;12860;73.53;2019
Kabupaten Jombang;72.27;13;8.53;11533;72.85;2019
Kabupaten Nganjuk;71.44;12.85;7.63;12200;71.71;2019
Kabupaten Madiun;71.22;13.14;7.8;11650;71.69;2019
Kabupaten Magetan;72.49;14;7.96;11779;73.49;2019
Kabupaten Ngawi;72.16;12.69;6.98;11468;70.41;2019
Kabupaten Bojonegoro;71.36;12.36;7.09;10265;68.75;2019
Kabupaten Tuban;71.26;12.2;6.81;10499;68.37;2019
Kabupaten Lamongan;72.27;13.47;7.89;11572;72.57;2019
